question,answer
"Who wrote Hamlet?","William Shakespeare"
"What color is grass?","Green"
"What color are bananas?","Yellow"
"What color is coal?","Black"
"What color is snow?","White"
"What is Artificial Intelligence?","Simulation of human intelligence in machines"
"What does AI stand for?","Artificial Intelligence"
"What is Machine Learning?","A subset of AI that learns from data"
"What is Deep Learning?","A subset of ML using neural networks"
"What is a neural network?","A model inspired by the human brain"
"What is supervised learning?","Learning with labeled data"
"What is unsupervised learning?","Learning with unlabeled data"
"What is reinforcement learning?","Learning by reward and punishment"
"What is a dataset?","A collection of data"
"What is a feature?","An input variable"
"What is a label in ML?","The target output"
"What is training data?","Data used to train a model"
"What is testing data?","Data used to evaluate a model"
"What is overfitting?","Model performs well on training but poorly on new data"
"What is underfitting?","Model is too simple to learn patterns"
"What is an algorithm?","A step-by-step procedure"
"What is a model in ML?","A learned representation from data"
"What is accuracy?","Correct predictions divided by total predictions"
"What is loss function?","Measures model error"
"What is gradient descent?","Optimization algorithm to minimize loss"
"What is backpropagation?","Algorithm to update neural network weights"
"Who wrote Macbeth?","William Shakespeare"
"Who wrote Harry Potter?","J K Rowling"
"Who wrote The Hobbit?","J R R Tolkien"
"Who wrote 1984?","George Orwell"
"Who wrote Animal Farm?","George Orwell"
"Who wrote To Kill a Mockingbird?","Harper Lee"
"What is the capital of USA?","Washington DC"
"What is the capital of Brazil?","Brasilia"
"What is the capital of Argentina?","Buenos Aires"
"What is the capital of Australia?","Canberra"
"What is the capital of Egypt?","Cairo"
"What is the capital of Turkey?","Ankara"
"What is the capital of Thailand?","Bangkok"
"What is the capital of Sri Lanka?","Colombo"
"What is the capital of France?","Paris"
"What is the capital of Germany?","Berlin"
"What is the capital of Italy?","Rome"
"What is the capital of Spain?","Madrid"
"What is the capital of Portugal?","Lisbon"
"What is the capital of Nepal?","Kathmandu"
"What is the capital of India?","New Delhi"
"What is the capital of China?","Beijing"
"What is the capital of Japan?","Tokyo"
"What is the capital of South Korea?","Seoul"
"What is the capital of Russia?","Moscow"
"What is the capital of Canada?","Ottawa"
"What is 2 + 2?","4"
"What is 5 + 7?","12"
"What is 10 - 3?","7"
"What is 6 x 6?","36"
"What is 12 / 3?","4"
"What is the square of 4?","16"
"What is the cube of 3?","27"
"What is the square root of 16?","4"
"What is the square root of 81?","9"
"What is 15 + 20?","35"
"Who wrote Pride and Prejudice?","Jane Austen"
"Who wrote The Alchemist?","Paulo Coelho"
"Who wrote The Odyssey?","Homer"
"What is the largest planet in our solar system?","Jupiter"
"What is the smallest planet in our solar system?","Mercury"
"Which planet is known as the Red Planet?","Mars"
"Which planet is closest to the Sun?","Mercury"
"Which planet is known for rings?","Saturn"
"How many planets are in the solar system?","8"
"What galaxy do we live in?","Milky Way"
"What star is at the center of the solar system?","Sun"
"What is Earth's natural satellite?","Moon"
"What is the hottest planet?","Venus"
"What is the boiling point of water in Celsius?","100"
"What is the freezing point of water in Celsius?","0"
"What gas do humans breathe?","Oxygen"
"What gas do plants absorb?","Carbon Dioxide"
"What is H2O?","Water"
"What is NaCl?","Salt"
"What is the chemical symbol for Gold?","Au"
"What is the chemical symbol for Iron?","Fe"
"What is the chemical symbol for Oxygen?","O"
"What is the chemical symbol for Hydrogen?","H"
"How many continents are there?","7"
"How many oceans are there?","5"
"Which is the largest ocean?","Pacific Ocean"
"Which is the largest continent?","Asia"
"Which is the smallest continent?","Australia"
"Which continent is Nepal in?","Asia"
"Which continent is France in?","Europe"
"Which continent is Brazil in?","South America"
"Which continent is Egypt in?","Africa"
"What is the tallest mountain in the world?","Mount Everest"
"Where is Mount Everest located?","Nepal"
"What is the longest river in the world?","Nile"
"What is the fastest land animal?","Cheetah"
"What is the largest mammal?","Blue Whale"
"What is the largest land animal?","Elephant"
"What animal is known as the king of the jungle?","Lion"
"What do cows drink?","Water"
"What do bees make?","Honey"
"How many days are in a week?","7"
"How many hours are in a day?","24"
"How many minutes are in an hour?","60"
"How many seconds are in a minute?","60"
"How many months are in a year?","12"
"How many days are in a year?","365"
"What comes after Monday?","Tuesday"
"What comes after Friday?","Saturday"
"What comes before Sunday?","Saturday"
"What season comes after summer?","Autumn"
"What color is the sky?","Blue"
"What shape is a wheel?","Circle"
"How many sides does a triangle have?","3"
"How many sides does a square have?","4"
"How many sides does a pentagon have?","5"
"How many sides does a hexagon have?","6"
"What is the opposite of hot?","Cold"
"What is the opposite of big?","Small"
"What is the opposite of fast?","Slow"
"What is the opposite of happy?","Sad"
"What is the opposite of up?","Down"
"Which animal barks?","Dog"
"Which animal meows?","Cat"
"Which animal roars?","Lion"
"Which animal moos?","Cow"
"Which animal neighs?","Horse"
"What device is used to call someone?","Phone"
"What device is used to compute?","Computer"
"What device is used to watch shows?","Television"
"What device is used to type text?","Keyboard"
"What device is used to move a cursor?","Mouse"
"What language is spoken in France?","French"
"What language is spoken in Japan?","Japanese"
"What language is spoken in China?","Chinese"
"What language is spoken in Nepal?","Nepali"
"What language is spoken in Spain?","Spanish"
"What currency is used in USA?","Dollar"
"What currency is used in Nepal?","Rupee"
"What currency is used in Japan?","Yen"
"What currency is used in UK?","Pound"
"What currency is used in Europe?","Euro"
"What is 9 + 9?","18"
"What is 7 x 8?","56"
"What is 100 - 45?","55"
"What is 81 / 9?","9"
"What is 11 + 22?","33"
"What is 14 + 6?","20"
"What is 5 x 5?","25"
"What is 64 / 8?","8"
"What is 20 - 7?","13"
"What is 3 x 9?","27"
